pi_source_file	pi_symbol	py_file	py_symbol	upstream_commit
packages/protocol/src/schemas.ts	PROTOCOL_VERSION	misaka/protocol/schemas.py	PROTOCOL_VERSION	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	JsonValueSchema	misaka/protocol/schemas.py	JsonValue	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	JsonValue	misaka/protocol/schemas.py	JsonValue	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ThinkingLevelSchema	misaka/protocol/schemas.py	ThinkingLevel	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ThinkingLevel	misaka/protocol/schemas.py	ThinkingLevel	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	SessionPhaseSchema	misaka/protocol/schemas.py	SessionPhase	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	SessionPhase	misaka/protocol/schemas.py	SessionPhase	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ModelRefSchema	misaka/protocol/schemas.py	ModelRef	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ModelRef	misaka/protocol/schemas.py	ModelRef	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ModelMetadataSchema	misaka/protocol/schemas.py	ModelMetadata	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ModelMetadata	misaka/protocol/schemas.py	ModelMetadata	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	UsageSchema	misaka/protocol/schemas.py	Usage	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	Usage	misaka/protocol/schemas.py	Usage	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	UserTranscriptItemSchema	misaka/protocol/schemas.py	UserTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	UserTranscriptItem	misaka/protocol/schemas.py	UserTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	AssistantTranscriptItemSchema	misaka/protocol/schemas.py	AssistantTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	AssistantTranscriptItem	misaka/protocol/schemas.py	AssistantTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ToolTranscriptItemSchema	misaka/protocol/schemas.py	ToolTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ToolTranscriptItem	misaka/protocol/schemas.py	ToolTranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	TranscriptItemSchema	misaka/protocol/schemas.py	TranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	TranscriptItem	misaka/protocol/schemas.py	TranscriptItem	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	TranscriptProgressSchema	misaka/protocol/schemas.py	TranscriptProgress	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	TranscriptProgress	misaka/protocol/schemas.py	TranscriptProgress	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ServerSnapshotSchema	misaka/protocol/schemas.py	ServerSnapshot	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ServerSnapshot	misaka/protocol/schemas.py	ServerSnapshot	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ProtocolErrorCodeSchema	misaka/protocol/schemas.py	ProtocolErrorCode	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ProtocolErrorCode	misaka/protocol/schemas.py	ProtocolErrorCode	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	CommandSchema	misaka/protocol/schemas.py	Command	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	Command	misaka/protocol/schemas.py	Command	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	CommandResultSchema	misaka/protocol/schemas.py	CommandResult	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	CommandResult	misaka/protocol/schemas.py	CommandResult	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ClientHelloSchema	misaka/protocol/schemas.py	ClientHello	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	ClientHello	misaka/protocol/schemas.py	ClientHello	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	RequestEnvelopeSchema	misaka/protocol/schemas.py	RequestEnvelope	686f193e51ccdc56fdf3366ce5d092530c1007ac
packages/protocol/src/schemas.ts	RequestEnvelope	misaka/protocol/schemas.py	RequestEnvelope	686f193e51ccdc56fdf3366ce5d092530c1007ac
